,Title,published_date,views,likes,comments,month
163,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1880,97,27,Jul
164,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29414,563,90,Jul
165,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,371096,7975,440,Jul
166,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30582,1123,121,Jul
167,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3670,133,50,Jul
168,The Best Computer for Data Science Beginners,2020-07-10,39674,866,158,Jul
169,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6187,231,82,Jul
170,Critiquing MY OWN Data Science Resume,2020-07-06,12819,400,88,Jul
171,Where to Start Learning Data Science,2020-07-03,19158,785,125,Jul
172,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4237,198,35,Jul
173,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4651,176,52,Jun
174,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16827,554,79,Jun
175,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2443,82,40,Jun
176,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2392,139,49,Jun
177,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4440,168,46,Jun
178,Why You're Struggling to Learn Data Science,2020-06-12,15344,1003,159,Jun
179,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12286,365,70,Jun
180,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24495,694,146,Jun
181,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5735,154,53,Jun
182,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,77784,2273,276,May
183,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,21024,489,81,May
184,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,56987,2015,178,May
185,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11306,179,53,May
186,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,139242,4593,194,May
187,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3106,147,115,May
188,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4573,155,74,May
189,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1401020,48911,1987,May
190,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5627,198,42,May
191,What You Need to Know for a Data Science Internship,2020-05-01,22755,1218,60,May
192,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8413,348,53,Apr
193,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,15006,454,101,Apr
194,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3207,85,24,Apr
195,5 Tips for Crushing the Work From Home Life,2020-04-20,5469,200,38,Apr
196,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,22684,751,129,Apr
197,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,30934,748,98,Apr
198,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,46218,930,155,Apr
199,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,75354,1935,214,Apr
200,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,84352,1803,278,Apr
201,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,135427,3596,624,Apr
202,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,209716,5231,173,Apr
203,When Data Science Goes Wrong,2020-03-30,1826,106,30,Mar
204,How to ULTRALEARN Data Science,2020-03-27,62287,3811,168,Mar
205,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4500,266,50,Mar
206,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13808,475,45,Mar
207,The Secret Data Scientists Don't Want You to Know,2020-03-16,10950,1143,100,Mar
